CustomerID,Recency,Frequency,Monetary,SupportTickets,Tenure
CUST_0001,102,3.71,374.54,8,37
CUST_0002,111,5.24,684.83,5,19
CUST_0003,143,2.89,142.56,12,45
CUST_0004,89,7.12,523.91,2,28
CUST_0005,201,1.45,89.32,6,12
CUST_0006,67,4.88,456.78,4,33
CUST_0007,178,2.34,198.45,9,15
CUST_0008,45,6.77,789.12,1,41
CUST_0009,234,1.12,67.89,11,8
CUST_0010,78,5.45,612.34,3,29
CUST_0011,156,3.22,234.56,7,22
CUST_0012,91,4.67,445.67,5,36
CUST_0013,209,1.78,123.45,8,11
CUST_0014,54,7.89,678.90,2,44
CUST_0015,187,2.56,167.89,10,17
CUST_0016,76,5.12,534.21,4,31
CUST_0017,145,3.45,289.34,6,25
CUST_0018,98,4.23,423.45,3,38
CUST_0019,223,1.34,98.76,9,9
CUST_0020,62,6.78,567.89,1,42
