CustomerID,Recency,Frequency,Monetary,SupportTickets,Tenure
FASH_0001,15,4.2,320.50,1,18
FASH_0002,89,1.1,87.30,4,6
FASH_0003,7,8.5,1250.75,0,36
FASH_0004,156,0.8,65.20,7,12
FASH_0005,23,3.7,245.80,2,24
FASH_0006,201,0.5,43.90,9,8
FASH_0007,12,6.1,890.40,1,42
FASH_0008,67,2.3,178.60,3,15
FASH_0009,5,9.2,1580.90,0,48
FASH_0010,178,0.7,58.70,8,9
FASH_0011,31,4.8,412.30,1,27
FASH_0012,245,0.3,29.50,12,4
FASH_0013,18,5.6,675.20,0,33
FASH_0014,123,1.4,98.40,5,11
FASH_0015,8,7.3,1120.80,1,39
FASH_0016,189,0.6,51.20,10,7
FASH_0017,28,4.1,298.70,2,21
FASH_0018,267,0.2,18.90,15,3
FASH_0019,14,6.8,823.50,0,45
FASH_0020,134,1.2,76.80,6,10
FASH_0021,35,3.9,356.40,2,25
FASH_0022,198,0.4,38.60,11,5
FASH_0023,21,5.4,587.90,1,30
FASH_0024,156,0.9,69.30,7,13
FASH_0025,11,7.1,967.20,0,41
FASH_0026,223,0.3,34.20,13,6
FASH_0027,45,3.2,234.50,3,19
FASH_0028,287,0.1,15.60,18,2
FASH_0029,17,6.4,734.80,1,37
FASH_0030,145,1.0,82.10,6,12
FASH_0031,26,4.6,423.70,2,28
FASH_0032,209,0.4,41.30,12,4
FASH_0033,13,6.9,845.60,0,44
FASH_0034,167,0.8,63.90,8,8
FASH_0035,32,4.3,367.20,2,22
FASH_0036,198,0.5,47.80,10,6
FASH_0037,19,5.8,612.40,1,34
FASH_0038,178,0.7,54.70,9,9
FASH_0039,9,7.6,1034.90,0,46
FASH_0040,234,0.2,28.40,14,3
FASH_0041,38,3.5,289.60,3,20
FASH_0042,267,0.1,22.30,16,2
FASH_0043,16,6.2,698.30,1,35
FASH_0044,156,0.9,71.50,7,11
FASH_0045,24,5.1,456.80,1,29
FASH_0046,212,0.3,36.90,13,5
FASH_0047,12,7.4,923.70,0,43
FASH_0048,189,0.6,49.20,11,7
FASH_0049,29,4.4,334.50,2,23
FASH_0050,245,0.2,31.60,15,4
FASH_0051,14,6.7,789.20,0,38
FASH_0052,134,1.3,87.60,5,10
FASH_0053,33,4.0,298.40,2,26
FASH_0054,198,0.4,43.70,12,6
FASH_0055,20,5.9,634.80,1,32
FASH_0056,167,0.8,58.30,9,8
FASH_0057,10,7.8,1156.40,0,47
FASH_0058,223,0.3,29.80,14,3
FASH_0059,41,3.3,267.90,3,18
FASH_0060,278,0.1,19.70,17,2
FASH_0061,15,6.5,723.60,1,36
FASH_0062,145,1.1,79.40,6,12
FASH_0063,27,4.7,398.20,2,24
FASH_0064,201,0.4,39.50,11,5
FASH_0065,18,5.7,567.90,1,31
FASH_0066,178,0.7,56.80,8,9
FASH_0067,8,8.1,1287.50,0,49
FASH_0068,234,0.2,26.30,15,3
FASH_0069,36,3.6,312.40,3,21
FASH_0070,256,0.1,21.90,16,2
FASH_0071,22,5.3,489.70,1,27
FASH_0072,156,0.9,73.20,7,13
FASH_0073,13,7.2,856.30,0,40
FASH_0074,189,0.5,45.60,10,6
FASH_0075,30,4.2,345.80,2,25
FASH_0076,223,0.3,33.40,13,4
FASH_0077,17,6.0,645.70,1,33
FASH_0078,167,0.8,61.90,8,8
FASH_0079,11,7.5,998.60,0,42
FASH_0080,245,0.2,30.50,14,3
FASH_0081,39,3.4,278.30,3,19
FASH_0082,267,0.1,18.20,17,2
FASH_0083,19,5.5,578.40,1,30
